1066,136723,28522,13001,12768,129026
1671,33033,277473,149890,148039,206630
4213,320719,113301,457837,160188,135340
4233,3288,4888,3711,33193,24134
266,1804,136,1042,3667,2347
116,2926,4624,9235,12541,5879
18341,41235,79933,143892,238058,271585
491,4533,9840,15328,2835,3034
500,1327,11858,11302,63344,42454
646,6375,9406,25002,90585,59661
9197,6453,44245,102997,116972,-22312
-100,1050,1158,5258,9293,28998
5862,33799,21065,39445,34401,44405
189215,170170,217298,404911,418688,424196
703,114229,79516,90384,287150,32083
0,1629,5417,2042,-1503,8887
8671,45051,1234,19515,14210,7136
215,37010,4140,3402,5746,6559
210,1922,4350,6372,16094,14272
1198,1084,2541,4225,1588,1586
0,36,950,108,4927,-1422
1070,1674,750,4417,-2411,-433
688,175,105,1144,1016,5986
556,-1635,-557,-2222,974,-650
652,2606,72,481,3738,5774
0,-29,-65,71,-322,-82
-66,37,34,1683,-2466,-20
244,2286,-1188,16191,5055,17508
-163,7,983,674,127904,76440
2455,13903,-4937,4507,6737,9826
2238,48746,19410,73000,12477,42627
563,2673,10042,14057,21184,17133
1082,2723,74325,26992,18152,21479
3443,16354,19904,52134,182996,172214
214,221,3586,11132,584,8246
759,551,2512,802,2168,2009
3369,24409,7490,22495,3221,10884
93,3371,2622,1629,21696,9963
8839,3648,15367,18430,2390,-34518
-942,2206,31139,13781,7789,-13110
4225,18600,24588,66571,-9989,-14053
414,306,4321,2453,5538,-2628
49643,3606,299599,-4007,48770,207047
0,150,207,472,192,475
1406,4385,2110,5295,10620,-2220
-6314,3096,-169,17407,-68994,25487
-2295,1103,337,1516,462,1273
21397,7505,29155,42485,21841,30580
1822,2572,11970,16661,9457,13246
4547,69987,47860,83946,-9612,19091
1099,5598,20849,7290,49061,4420
360,1896,447,706,1985,6541
2323,10122,7873,27839,2967,41010
11984,30513,34943,33289,82150,-102447
17398,20131,136129,127198,613,1516
3937,-463,-2679,18059,317186,631990
23253,87561,74896,34313,28769,42818
3205,2344,3069,2556,3243,5542
971,5853,12156,11959,28214,18108
480786,41117,-81491,4209,84322,31736
-72,3380,28747,10118,4295,-10788
20464,46651,55966,43827,62567,74424
-166,4814,14840,8286,39.037,-36829
420,1177,2059,699,238,1143
-49,294,196,129,6842,-13
1456,176,506,744,997,133
26537,33135,8893,101426,63294,67819
1,86,765,4504,-4882,755
10188,4761,27681,31718,146088,168225
